title;date;doctor;companion;series
Rose;26/03/2005;9ème;Rose Tyler;1
The End of the World;02/04/2005;9ème;Rose Tyler;1
Aliens of London / World War Three;16/04/2005;9ème;Rose Tyler;1
The Long Game;07/05/2005;9ème;Rose Tyler / Adam Mitchell;1
Boom Town;04/06/2005;9ème;Rose Tyler / Jack Harkness;1
Bad Wolf / The Parting of the Ways;11/06/2005;10ème;Rose Tyler / Jack Harkness;1
Doctor Who: Children in Need;18/11/2005;10ème;Rose Tyler;-------
The Christmas Invasion;25/12/2005;10ème;Rose Tyler;2
New Earth;15/04/2006;10ème;Rose Tyler;2
Tooth and Claw;22/04/2006;10ème;Rose Tyler;2
Love & Monsters;17/06/2006;10ème;Rose Tyler;2
Army of Ghosts / Doomsday;01/07/2006;10ème;Rose Tyler;2
The Runaway Bride;25/12/2006;10ème;Donna Nobble;3
Smith and Jones;31/03/2007;10ème;Martha Jones;3
Gridlock;14/04/2007;10ème;Martha Jones;3
Utopia / The Sound of Drums / Last of the Time Lords;16/04/2007;10ème;Martha Jones / Jack Harkness;3
42;19/05/2007;10ème;Matha Jones;3
Voyage of the Damned;25/12/2007;10ème;Astrid Peth;4
Partners in Crime;05/04/2008;10ème;Donna Nobble;4
Midnight;14/06/2008;10ème;Donna Nobble;4
Turn Left;21/06/2008;10ème;Donna Nobble / Rose Tyler;4
The Stolen Earth / Journey's End;28/06/2008;10ème;Donna Nobble / Rose Tyler / Martha Jones / Jack Harkness / Sarah Jane;4
The Next Doctor;25/12/2008;10ème;The Next Doctor  / Rosita Farisi;4
Music of the Spheres;01/01/2009;10ème;--------;4
Planet of the Dead (co-written with Gareth Roberts);11/04/2009;10ème;Lady Christina de Souza;4
Untitled Tonight's the Night sketch;23/05/2009;10ème;Jack Harkness;4
The Waters of Mars (co-written with Phil Ford);15/11/2009;10ème;Adelaide Brooke;4
The End of Time;25/12/2009;10ème;Wilfred Mott;4
The Hungry Earth / Cold Blood;22/05/2010;11ème;Amy Pond / Rory Williams;5
Pond Life (2012 series of mini-episodes);27/08/2012;11ème;Amy Pond / Rory Williams;2012 Specials
Dinosaurs on a Spaceship;08/09/2012;11ème;Amy Pond / Rory Williams;7
The Power of Three;22/09/2012;11ème;Amy Pond / Rory Williams;7
P.S. (2012 mini-episode);01/10/2012;11ème;Amy Pond / Rory Williams;7
The Woman Who Fell to Earth;07/10/2018;13ème;Graham O'Brian / Ryan Sinclair / Yasmin Khan;11
The Ghost Monument;14/10/2018;13ème;Graham O'Brian / Ryan Sinclair / Yasmin Khan;11
Rosa (co-written with Malorie Blackman);21/10/2018;13ème;Graham O'Brian / Ryan Sinclair / Yasmin Khan;11
Arachnids in the UK;28/10/2018;13ème;Graham O'Brian / Ryan Sinclair / Yasmin Khan;11
The Tsuranga Conundrum;04/11/2018;13ème;Graham O'Brian / Ryan Sinclair / Yasmin Khan;12
The Battle of Ranskoor Av Kolos;09/12/2018;13ème;Graham O'Brian / Ryan Sinclair / Yasmin Khan;-------
Resolution;01/01/2019;13ème;Graham O'Brian / Ryan Sinclair / Yasmin Khan;-------
Spyfall;01/01/2020;13ème;Graham O'Brian / Ryan Sinclair / Yasmin Khan;12
Fugitive of the Judoon (co-written with Vinay Patel);26/01/2020;13ème;Graham O'Brian / Ryan Sinclair / Yasmin Khan;12
Praxeus (co-written with Pete McTighe;03/04/2020; 13ème;Graham O'Brian / Ryan Sinclair / Yasmin Khan;12
The Power of the Doctor;20/04/2022;13ème;Yasmin Khan / Dan / Ace / Tegan Jovanka;2022 Specials
Can You Hear Me? (co-written with Charlene James);12/07/2022;13ème;Graham O'Brian / Ryan Sinclair / Yasmin Khan;12
Destination: Skaro (minisode);17/11/2023;14ème;--------;2023 Specials
The Star Beast;25/11/2023;14ème;Donna Nobble;2023 Specials
Wild Blue Yonder;02/12/2023;14ème;Donna Nobble;2023 Specials
The Giggle;09/12/2023;14ème;Donna Nobble;2023 Specials
The Church on Ruby Road;25/12/2023;15ème;Ruby Sunday;-------
